loan_id,customer_name,loan_type,principal,interest_rate,term_months,status
LN000001,Laura Berry,Auto Loan,23594.2,8.026,48,Current
LN000002,Jennifer Wilson,Auto Loan,23638.29,8.335,48,Charged Off
LN000003,Frederick Solis,HELOC,67774.85,6.786,120,Current
LN000004,Sandra Gillespie,Auto Loan,21259.77,7.38,60,Charged Off
LN000005,Ryan Sanchez,Personal Loan,4143.78,6.464,24,Current
LN000006,Kelly Foster,HELOC,94409.09,4.941,60,Paid Off
LN000007,Gerald Cook,Student Loan,68787.8,5.397,120,Paid Off
LN000008,Jordan Wilson,Personal Loan,11308.39,7.906,12,Current
LN000009,Susan Bailey,Student Loan,16145.04,7.572,180,Delinquent
LN000010,Sabrina Briggs,Student Loan,24428.75,5.76,120,Paid Off
LN000011,Charles Gonzalez,Business Loan,241131.47,6.851,60,Current
LN000012,Paige Rios,Business Loan,241011.97,9.57,84,Current
LN000013,Raymond Snyder,Auto Loan,27276.66,3.774,72,Paid Off
LN000014,Olivia Cole,Student Loan,18862.66,5.767,180,Current
LN000015,Kristy Reid,Student Loan,44669.92,3.981,120,Current
LN000016,Sharon Burton,HELOC,126670.78,6.753,120,In Review
LN000017,Barry Ramos,Personal Loan,9749.11,14.699,48,Current
LN000018,Donald Brown,Business Loan,238502.06,6.016,60,Delinquent
LN000019,Emily Hayes,Business Loan,104263.17,10.942,120,In Review
LN000020,Ronald Jones,HELOC,14735.33,8.726,60,Delinquent
LN000021,Savannah Gilbert,Mortgage,356302.79,4.041,360,Delinquent
LN000022,Julie Spencer,Mortgage,226542.18,4.679,240,Current
LN000023,Stephanie Cole,Student Loan,93720.85,6.296,180,Current
LN000024,Marissa Morris,HELOC,87230.1,4.084,60,Delinquent
LN000025,Chris Brown,HELOC,146847.11,6.511,60,Delinquent
LN000026,Steven Cooper,Business Loan,405991.33,5.642,36,Current
LN000027,Kathy Thompson,Auto Loan,20530.38,8.391,60,Current
LN000028,Jeffrey Gonzales,Business Loan,53324.33,7.754,84,Current
LN000029,Caitlin Watson,Student Loan,26456.44,7.14,240,Current
LN000030,Jason Morgan,Student Loan,77160.66,5.026,120,Current
LN000031,Rachel Holland,Business Loan,42215.75,9.217,24,Current
LN000032,Brandon Gregory,Business Loan,327780.01,8.395,60,Paid Off
LN000033,Nathaniel Douglas,Mortgage,679510.11,4.034,180,Charged Off
LN000034,Shelley Cook,Student Loan,89317.66,4.355,180,Charged Off
LN000035,Brenda Bailey,Student Loan,92930.56,5.818,240,Current
