txn_id,date,account_id,type,amount,channel,status
TXN0000001,2025-08-14,ACC857168,withdrawal,6807.22,mobile,reversed
TXN0000002,2025-05-21,ACC211579,withdrawal,7616.46,mobile,completed
TXN0000003,2025-12-24,ACC899550,withdrawal,2294.71,atm,completed
TXN0000004,2026-05-01,ACC612340,deposit,8985.17,branch,completed
TXN0000005,2025-09-04,ACC972064,transfer,13181.13,mobile,completed
TXN0000006,2025-03-29,ACC182582,withdrawal,13170.45,branch,completed
TXN0000007,2026-07-14,ACC658582,deposit,14669.82,atm,completed
TXN0000008,2024-08-05,ACC653306,fee,13.22,phone,completed
TXN0000009,2024-10-12,ACC891952,withdrawal,13933.88,atm,completed
TXN0000010,2026-05-27,ACC559381,fee,49.09,phone,completed
TXN0000011,2025-02-02,ACC454508,withdrawal,3372.4,branch,completed
TXN0000012,2024-11-30,ACC107540,withdrawal,8827.63,branch,completed
TXN0000013,2025-10-08,ACC132938,deposit,3436.05,mobile,completed
TXN0000014,2025-02-06,ACC608993,withdrawal,4178.96,atm,completed
TXN0000015,2024-08-13,ACC526833,fee,36.0,atm,completed
TXN0000016,2024-10-07,ACC864491,fee,31.42,branch,completed
TXN0000017,2025-10-21,ACC863587,deposit,911.54,mobile,completed
TXN0000018,2025-06-17,ACC299448,deposit,3731.72,phone,completed
TXN0000019,2025-04-09,ACC179046,fee,35.23,online,completed
TXN0000020,2026-01-31,ACC666847,deposit,761.2,branch,failed
TXN0000021,2026-03-17,ACC609231,withdrawal,2496.75,online,completed
TXN0000022,2025-03-15,ACC102260,fee,13.18,online,completed
TXN0000023,2025-06-18,ACC865990,fee,52.55,phone,completed
TXN0000024,2025-10-28,ACC161324,fee,22.96,phone,completed
TXN0000025,2025-08-16,ACC159942,deposit,11220.26,branch,completed
TXN0000026,2024-10-12,ACC632496,withdrawal,855.55,branch,pending
TXN0000027,2025-05-10,ACC808011,deposit,8926.54,atm,completed
TXN0000028,2026-06-13,ACC141672,withdrawal,8684.84,phone,completed
TXN0000029,2025-10-05,ACC314181,transfer,14020.76,mobile,completed
TXN0000030,2024-12-09,ACC579434,fee,48.77,mobile,failed
TXN0000031,2025-01-28,ACC751332,deposit,142.21,phone,reversed
TXN0000032,2024-08-18,ACC630458,deposit,8065.67,mobile,completed
TXN0000033,2026-01-16,ACC356150,transfer,13213.26,mobile,completed
TXN0000034,2025-06-18,ACC741390,fee,53.06,phone,completed
TXN0000035,2024-07-16,ACC208618,transfer,13976.51,atm,completed
TXN0000036,2025-08-22,ACC262998,deposit,11136.89,mobile,completed
TXN0000037,2026-07-03,ACC313487,withdrawal,10764.89,mobile,completed
TXN0000038,2026-04-02,ACC987204,transfer,13580.28,branch,completed
TXN0000039,2025-09-06,ACC449759,fee,4.26,atm,completed
TXN0000040,2025-12-30,ACC563298,transfer,2425.83,phone,completed
TXN0000041,2026-01-24,ACC824586,deposit,1680.33,atm,completed
TXN0000042,2026-07-15,ACC255287,transfer,8738.69,online,completed
TXN0000043,2026-02-11,ACC934794,transfer,5471.36,branch,pending
TXN0000044,2026-02-07,ACC799330,withdrawal,10231.8,branch,completed
TXN0000045,2025-12-17,ACC348237,fee,56.46,atm,reversed
TXN0000046,2024-12-15,ACC125990,withdrawal,13221.54,atm,completed
TXN0000047,2025-04-23,ACC531712,transfer,11736.34,atm,completed
TXN0000048,2025-06-14,ACC140605,deposit,5739.67,online,completed
TXN0000049,2024-09-07,ACC338651,fee,61.72,atm,completed
TXN0000050,2025-12-12,ACC392136,withdrawal,5978.49,branch,failed
TXN0000051,2026-06-30,ACC634150,transfer,5268.81,online,completed
TXN0000052,2025-03-28,ACC220944,transfer,14088.71,mobile,completed
TXN0000053,2025-11-11,ACC725550,transfer,576.26,online,completed
TXN0000054,2025-03-15,ACC636265,transfer,6547.32,branch,completed
TXN0000055,2025-12-12,ACC843215,withdrawal,3822.7,online,completed
TXN0000056,2026-05-04,ACC173372,withdrawal,5464.91,mobile,completed
TXN0000057,2024-10-19,ACC414910,deposit,10797.01,phone,completed
TXN0000058,2026-01-25,ACC681343,fee,52.59,atm,completed
TXN0000059,2026-06-14,ACC745414,fee,67.81,phone,completed
TXN0000060,2025-03-05,ACC320392,deposit,4559.86,online,completed
TXN0000061,2025-08-12,ACC563638,transfer,6976.16,atm,completed
TXN0000062,2025-03-12,ACC397571,withdrawal,9883.61,phone,completed
TXN0000063,2025-12-14,ACC887625,transfer,1403.07,atm,completed
TXN0000064,2025-05-28,ACC254511,withdrawal,12098.93,branch,completed
TXN0000065,2025-03-25,ACC577538,fee,57.87,online,pending
TXN0000066,2025-05-23,ACC502630,withdrawal,10775.89,online,completed
TXN0000067,2026-01-07,ACC105814,withdrawal,9841.73,branch,completed
TXN0000068,2025-03-01,ACC829716,withdrawal,2640.36,phone,completed
TXN0000069,2025-09-18,ACC227253,withdrawal,13762.26,online,completed
TXN0000070,2024-10-21,ACC724377,fee,74.1,mobile,failed
TXN0000071,2024-12-11,ACC629298,fee,54.23,online,completed
TXN0000072,2025-06-06,ACC597732,fee,56.03,online,completed
TXN0000073,2025-12-13,ACC390782,withdrawal,12598.34,phone,completed
TXN0000074,2026-07-15,ACC181247,withdrawal,4120.78,mobile,completed
TXN0000075,2025-05-05,ACC666390,transfer,4797.34,branch,completed
TXN0000076,2025-12-23,ACC260227,withdrawal,5747.07,atm,completed
TXN0000077,2026-02-16,ACC165290,fee,35.48,atm,completed
TXN0000078,2026-06-16,ACC829308,fee,44.22,branch,pending
TXN0000079,2024-11-27,ACC413118,fee,70.76,online,pending
TXN0000080,2025-11-05,ACC938722,fee,55.36,phone,pending
TXN0000081,2025-09-30,ACC130434,fee,33.25,online,completed
TXN0000082,2025-03-05,ACC233827,fee,63.2,phone,completed
TXN0000083,2025-05-26,ACC188025,fee,50.06,online,completed
TXN0000084,2025-09-13,ACC443254,fee,20.25,atm,completed
TXN0000085,2026-04-23,ACC497542,transfer,11419.04,mobile,completed
TXN0000086,2024-07-15,ACC120324,fee,7.06,phone,completed
TXN0000087,2025-03-08,ACC171951,transfer,3365.27,branch,completed
TXN0000088,2025-02-22,ACC121369,withdrawal,2992.41,phone,completed
TXN0000089,2024-12-25,ACC219946,withdrawal,7104.73,phone,failed
TXN0000090,2025-06-13,ACC275939,fee,57.75,phone,completed
TXN0000091,2026-03-17,ACC271720,deposit,11667.43,mobile,completed
TXN0000092,2025-10-08,ACC703766,deposit,13933.49,online,completed
TXN0000093,2025-10-29,ACC824161,withdrawal,1142.26,atm,completed
TXN0000094,2025-12-05,ACC729577,transfer,12754.77,branch,completed
TXN0000095,2025-03-22,ACC549186,deposit,5209.69,mobile,completed
TXN0000096,2025-07-11,ACC540463,transfer,192.25,online,completed
TXN0000097,2025-06-23,ACC968962,transfer,9534.69,online,completed
TXN0000098,2025-06-23,ACC782054,fee,39.61,mobile,completed
TXN0000099,2025-12-21,ACC721254,fee,62.1,mobile,completed
TXN0000100,2024-12-27,ACC190872,withdrawal,12461.39,mobile,pending
TXN0000101,2025-08-16,ACC697530,withdrawal,11257.77,phone,completed
TXN0000102,2025-07-17,ACC992288,transfer,432.93,mobile,completed
TXN0000103,2026-03-23,ACC370902,withdrawal,5323.99,mobile,completed
TXN0000104,2026-06-14,ACC641722,transfer,8337.98,atm,completed
TXN0000105,2026-03-25,ACC824156,fee,57.1,online,completed
TXN0000106,2026-02-06,ACC408528,fee,2.28,atm,completed
TXN0000107,2024-11-23,ACC709805,withdrawal,4594.82,mobile,completed
TXN0000108,2025-12-08,ACC882169,transfer,6383.99,phone,completed
TXN0000109,2024-09-18,ACC226516,fee,19.6,atm,completed
TXN0000110,2025-02-20,ACC874483,withdrawal,2875.14,online,completed
TXN0000111,2025-08-19,ACC973074,transfer,14707.71,atm,completed
TXN0000112,2025-12-12,ACC114835,transfer,2693.67,phone,completed
TXN0000113,2025-11-18,ACC680238,deposit,14614.49,mobile,completed
TXN0000114,2025-11-07,ACC889359,withdrawal,9568.95,online,completed
TXN0000115,2025-04-01,ACC592198,deposit,8612.03,online,completed
TXN0000116,2024-09-25,ACC364742,withdrawal,14482.55,online,completed
TXN0000117,2026-04-11,ACC177680,deposit,6012.11,phone,completed
TXN0000118,2026-02-18,ACC950544,deposit,2278.03,phone,failed
TXN0000119,2025-01-13,ACC224205,deposit,14908.79,phone,completed
TXN0000120,2025-12-19,ACC498855,withdrawal,11635.96,online,pending
TXN0000121,2025-03-13,ACC549660,transfer,12902.85,mobile,completed
TXN0000122,2025-01-05,ACC876039,deposit,9145.44,branch,failed
TXN0000123,2026-04-02,ACC377501,withdrawal,9383.66,branch,completed
TXN0000124,2024-12-16,ACC264136,withdrawal,8281.0,branch,completed
TXN0000125,2024-11-06,ACC841296,fee,18.13,mobile,completed
TXN0000126,2024-08-02,ACC377405,fee,18.27,phone,completed
TXN0000127,2024-08-19,ACC671015,withdrawal,6378.52,atm,completed
TXN0000128,2025-01-21,ACC174878,transfer,12399.9,branch,completed
TXN0000129,2025-07-19,ACC964278,transfer,8926.67,phone,failed
TXN0000130,2025-11-01,ACC833723,fee,51.96,online,failed
TXN0000131,2026-05-06,ACC553014,fee,45.25,mobile,completed
TXN0000132,2026-03-03,ACC807053,deposit,1372.17,phone,completed
TXN0000133,2024-09-09,ACC804938,deposit,14993.59,mobile,completed
TXN0000134,2025-07-03,ACC783157,withdrawal,7058.84,online,pending
TXN0000135,2025-06-01,ACC557058,withdrawal,14954.19,online,failed
TXN0000136,2026-06-03,ACC802685,fee,25.66,branch,pending
TXN0000137,2025-11-16,ACC619536,transfer,6176.15,mobile,completed
TXN0000138,2025-10-05,ACC576919,fee,41.71,branch,completed
TXN0000139,2024-12-13,ACC910075,transfer,1741.03,online,pending
TXN0000140,2026-01-23,ACC668950,deposit,9865.76,online,completed
TXN0000141,2026-01-06,ACC752878,withdrawal,7777.79,online,completed
TXN0000142,2025-05-09,ACC675898,deposit,3055.36,atm,failed
TXN0000143,2025-08-02,ACC130271,fee,36.87,phone,completed
TXN0000144,2025-05-21,ACC114338,withdrawal,4662.98,phone,completed
TXN0000145,2025-01-20,ACC218972,withdrawal,14883.88,online,failed
TXN0000146,2024-11-06,ACC851413,withdrawal,7476.89,mobile,completed
TXN0000147,2025-12-06,ACC605937,transfer,6233.82,online,completed
TXN0000148,2025-12-31,ACC728492,withdrawal,5755.33,phone,completed
TXN0000149,2024-07-19,ACC389666,withdrawal,12960.74,online,completed
TXN0000150,2026-06-08,ACC396578,transfer,12308.69,mobile,completed
TXN0000151,2026-02-18,ACC607868,fee,34.04,mobile,completed
TXN0000152,2026-05-14,ACC297816,fee,24.81,atm,completed
TXN0000153,2026-03-05,ACC530728,withdrawal,12840.55,branch,completed
TXN0000154,2026-06-02,ACC504832,fee,61.04,atm,completed
TXN0000155,2024-10-05,ACC718849,deposit,1895.88,mobile,pending
